Word	AFINN	freq	avg_AFINN	sd_AFINN
avtomat	1	54	0.594	2.248
avtomatičen	0	12	0.494	1.193
avtomatizacija	1	3	0.807	1.909
avtomatizem	0	1	0.390	0.000
avtomatizirati	0	1	0.390	0.000
avtomatski	1	33	1.137	1.987
avtomehaničen	2	1	1.640	0.000
avtomehanik	1	10	1.362	2.560
avtomobil	0	927	0.213	2.438
avtomobilček	3	1	2.890	0.000
avtomobilist	3	1	2.890	0.000
avtomobilističen	-1	2	-1.485	4.419
avtomobilizem	0	7	0.033	3.363
avtomobilski	0	636	-0.084	2.353
avtomotoklub	-2	1	-2.110	0.000
avtonomen	0	16	-0.287	1.645
avtonomija	1	27	0.746	1.979
avtonomnost	-1	8	-0.548	1.976
avtopilot	-2	1	-2.110	0.000
avtoplašč	2	1	1.640	0.000
avtoplin	1	30	0.526	1.064
avtopodjetje	-3	1	-3.360	0.000
avtoportal	2	1	1.640	0.000
avtopralnica	3	4	2.890	0.000
avtoprevoz	-2	12	-2.110	1.922
avtoprevoznik	-1	106	-0.617	1.856
avtoprevozniški	0	12	-0.140	1.056
avtoprevozništvo	0	1	0.390	0.000
avtor	0	133	-0.128	1.811
avtoradio	3	1	2.890	0.000
avtoreparaturen	3	3	2.890	1.768
avtorica	1	14	0.747	0.764
avtoritaren	0	3	0.390	2.500
avtoriteta	0	20	0.052	1.770
avtorizacija	0	3	-0.027	1.909
avtorizirati	-2	1	-2.110	0.000
avtorski	0	45	0.150	1.658
avtorstvo	2	2	1.640	1.768
avtosalon	2	3	1.640	1.250
avtoservis	-2	5	-2.193	0.903
avtošola	-2	1	-2.110	0.000
avtotransport	-1	4	-0.860	1.021
avtovleka	2	1	1.640	0.000
avto-moto	4	1	4.140	0.000
avto...	0	3229	-0.018	2.245
az	1	1	1.223	0.000
azbest	-3	2	-2.527	2.946
azbesten	-1	5	-1.360	1.118
azijski	0	217	0.129	2.453
azil	-1	10	-1.138	1.502
azilen	0	7	-0.027	1.021
azimut	-1	2	-0.860	1.768
azteški	0	1	0.390	0.000
ažuren	2	2	1.640	5.303
ažuriran	0	2	0.390	1.768
ažurirati	1	5	1.307	2.050
ažurno	0	3	0.390	0.000
ažurnost	-1	1	-0.860	0.000
a la	2	2	2.057	2.946
a la carte	2	2	2.057	2.946
a priori	-2	2	-2.110	0.000
a...	0	41449	-0.031	1.987
b	0	147	-0.212	1.665
ba	0	11	0.276	1.973
baba	-1	3	-0.860	1.768
babica	1	19	1.074	1.561
babiški	0	4	0.390	0.000
babnik	0	2	0.390	0.000
baby	0	5	0.390	3.062
bacati	3	1	2.890	0.000
back	-1	4	-1.172	1.573
bačka	0	2	0.390	0.000
badminton	4	1	4.140	0.000
bagatelen	-1	1	-0.860	0.000
bagdad	2	2	2.265	2.652
bager	-1	11	-1.235	1.186
bagerist	-3	3	-2.943	1.443
bah	-1	2	-0.860	1.768
bahati	3	1	2.890	0.000
bahav	-1	2	-0.860	0.000
bajc	0	12	0.286	2.096
bajde	0	1	0.390	0.000
baje	0	6	-0.443	2.041
bajen	0	3	-0.027	0.722
bajer	0	1	0.390	0.000
bajram	0	2	0.390	0.000
